"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","PcsCompu_e3:36:61","PcsCompu_c7:0e:1a","ARP","42","10.0.2.5 is at 08:00:27:e3:36:61"
"2","0.000070643","PcsCompu_e3:36:61","PcsCompu_88:2b:41","ARP","42","10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)"
"3","10.010244681","PcsCompu_e3:36:61","PcsCompu_c7:0e:1a","ARP","42","10.0.2.5 is at 08:00:27:e3:36:61"
"4","10.010317076","PcsCompu_e3:36:61","PcsCompu_88:2b:41","ARP","42","10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)"
"5","19.347505528","PcsCompu_88:2b:41","Broadcast","ARP","60","Who has 10.0.2.15? Tell 10.0.2.5 (duplicate use of 10.0.2.5 detected!)"
"6","19.351451291","PcsCompu_e3:36:61","PcsCompu_88:2b:41","ARP","42","10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)"
"7","19.386033815","PcsCompu_88:2b:41","Broadcast","ARP","60","Who has 10.0.2.1? Tell 10.0.2.5 (duplicate use of 10.0.2.5 detected!)"
"8","20.020723765","PcsCompu_e3:36:61","PcsCompu_c7:0e:1a","ARP","42","10.0.2.5 is at 08:00:27:e3:36:61"
"9","20.020794919","PcsCompu_e3:36:61","PcsCompu_88:2b:41","ARP","42","10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)"
"10","30.031058379","PcsCompu_e3:36:61","PcsCompu_c7:0e:1a","ARP","42","10.0.2.5 is at 08:00:27:e3:36:61"
"11","30.031122058","PcsCompu_e3:36:61","PcsCompu_88:2b:41","ARP","42","10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)"
"12","32.406018141","10.0.2.5","10.0.2.15","TCP","60","55077  >  21 [SYN] Seq=0 Win=3072 Len=0 MSS=1460"
"13","32.406018231","10.0.2.5","10.0.2.15","TCP","60","55077  >  389 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"14","32.406018282","10.0.2.5","10.0.2.15","TCP","60","55077  >  53 [SYN] Seq=0 Win=3072 Len=0 MSS=1460"
"15","32.406018322","10.0.2.5","10.0.2.15","TCP","60","55077  >  1723 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
"16","32.406166770","10.0.2.5","10.0.2.15","TCP","60","55077  >  22 [SYN] Seq=0 Win=2048 Len=0 MSS=1460"
"17","32.406166820","10.0.2.5","10.0.2.15","TCP","60","55077  >  256 [SYN] Seq=0 Win=3072 Len=0 MSS=1460"
"18","32.406302023","10.0.2.5","10.0.2.15","TCP","60","55077  >  23 [SYN] Seq=0 Win=3072 Len=0 MSS=1460"
"19","32.406302073","10.0.2.5","10.0.2.15","TCP","60","55077  >  554 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
"20","32.406448027","10.0.2.5","10.0.2.15","TCP","60","55077  >  443 [SYN] Seq=0 Win=3072 Len=0 MSS=1460"
"21","32.406510864","10.0.2.5","10.0.2.15","TCP","60","55077  >  80 [SYN] Seq=0 Win=3072 Len=0 MSS=1460"
"22","32.407146004","10.0.2.5","10.0.2.15","TCP","58","[TCP Out-Of-Order] 55077  >  21 [SYN] Seq=0 Win=3072 Len=0 MSS=1460"
"23","32.407220925","10.0.2.5","10.0.2.15","TCP","58","[TCP Out-Of-Order] 55077  >  389 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"24","32.407353623","10.0.2.5","10.0.2.15","TCP","58","[TCP Out-Of-Order] 55077  >  53 [SYN] Seq=0 Win=3072 Len=0 MSS=1460"
"25","32.407454783","10.0.2.5","10.0.2.15","TCP","58","[TCP Out-Of-Order] 55077  >  1723 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
"26","32.407555972","10.0.2.5","10.0.2.15","TCP","58","[TCP Out-Of-Order] 55077  >  22 [SYN] Seq=0 Win=2048 Len=0 MSS=1460"
"27","32.407626294","10.0.2.5","10.0.2.15","TCP","58","[TCP Out-Of-Order] 55077  >  256 [SYN] Seq=0 Win=3072 Len=0 MSS=1460"
"28","32.407836103","10.0.2.15","10.0.2.5","TCP","60","21  >  55077 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"29","32.407836233","10.0.2.15","10.0.2.5","TCP","60","389  >  55077 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"30","32.407836284","10.0.2.15","10.0.2.5","TCP","60","53  >  55077 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"31","32.407836334","10.0.2.15","10.0.2.5","TCP","60","1723  >  55077 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"32","32.407836384","10.0.2.15","10.0.2.5","TCP","60","22  >  55077 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"33","32.407994650","10.0.2.15","10.0.2.5","TCP","60","256  >  55077 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"34","32.408042650","10.0.2.5","10.0.2.15","TCP","58","[TCP Out-Of-Order] 55077  >  23 [SYN] Seq=0 Win=3072 Len=0 MSS=1460"
"35","32.408191529","10.0.2.5","10.0.2.15","TCP","58","[TCP Out-Of-Order] 55077  >  554 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
"36","32.408329708","10.0.2.15","10.0.2.5","TCP","60","23  >  55077 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"37","32.408369302","10.0.2.5","10.0.2.15","TCP","58","[TCP Out-Of-Order] 55077  >  443 [SYN] Seq=0 Win=3072 Len=0 MSS=1460"
"38","32.408455494","10.0.2.15","10.0.2.5","TCP","60","554  >  55077 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"39","32.408537958","10.0.2.5","10.0.2.15","TCP","58","[TCP Out-Of-Order] 55077  >  80 [SYN] Seq=0 Win=3072 Len=0 MSS=1460"
"40","32.408591538","10.0.2.15","10.0.2.5","TCP","60","443  >  55077 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"41","32.408708127","10.0.2.15","10.0.2.5","TCP","60","80  >  55077 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"42","32.417099547","10.0.2.15","10.0.2.5","TCP","54","21  >  55077 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"43","32.417222828","10.0.2.15","10.0.2.5","TCP","54","389  >  55077 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"44","32.417388608","10.0.2.15","10.0.2.5","TCP","54","53  >  55077 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
