"No.","Time","Source","Destination","Protocol","Length","Info"
"83","155.414618726","10.0.2.15","10.0.2.5","TCP","74","38906  >  25 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757156 TSecr=0 WS=128"
"84","155.418126707","10.0.2.15","10.0.2.5","TCP","74","[TCP Retransmission] 48478  >  1723 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757155 TSecr=0 WS=128"
"85","155.418397775","10.0.2.15","10.0.2.5","TCP","74","[TCP Retransmission] 49904  >  993 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757155 TSecr=0 WS=128"
"86","155.418525334","10.0.2.15","10.0.2.5","TCP","74","[TCP Retransmission] 54368  >  8080 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757155 TSecr=0 WS=128"
"87","155.418642313","10.0.2.15","10.0.2.5","TCP","74","[TCP Retransmission] 58140  >  554 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757155 TSecr=0 WS=128"
"88","155.418755676","10.0.2.5","10.0.2.15","TCP","60","1723  >  48478 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"89","155.418755816","10.0.2.5","10.0.2.15","TCP","60","993  >  49904 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"90","155.418827130","10.0.2.5","10.0.2.15","TCP","60","8080  >  54368 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"91","155.418827200","10.0.2.5","10.0.2.15","TCP","60","554  >  58140 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"92","155.418875691","10.0.2.15","10.0.2.5","TCP","74","[TCP Retransmission] 34154  >  139 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757155 TSecr=0 WS=128"
