,No.,Time,Source,Destination,Protocol,Length,Info
95,96,143.071998804,PcsCompu_c7:0e:1a,PcsCompu_e3:36:61,ARP,60,10.0.2.15 is at 08:00:27:c7:0e:1a
96,97,143.071998975,PcsCompu_88:2b:41,PcsCompu_e3:36:61,ARP,60,10.0.2.5 is at 08:00:27:88:2b:41
97,98,143.343954976,10.0.2.15,10.0.2.5,ICMP,98,"Echo (ping) request  id=0x0849, seq=6/1536, ttl=64 (no response found!)"
98,99,143.351670195,10.0.2.15,10.0.2.5,ICMP,98,"Echo (ping) request  id=0x0849, seq=6/1536, ttl=64 (reply in 100)"
99,100,143.352169541,10.0.2.5,10.0.2.15,ICMP,98,"Echo (ping) reply    id=0x0849, seq=6/1536, ttl=64 (request in 99)"
100,101,143.359601784,10.0.2.5,10.0.2.15,ICMP,98,"Echo (ping) reply    id=0x0849, seq=6/1536, ttl=64"
101,102,144.18751642200002,PcsCompu_e3:36:61,PcsCompu_c7:0e:1a,ARP,42,10.0.2.5 is at 08:00:27:e3:36:61
102,103,144.187603024,PcsCompu_e3:36:61,PcsCompu_88:2b:41,ARP,42,10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)
103,104,154.197967631,PcsCompu_e3:36:61,PcsCompu_c7:0e:1a,ARP,42,10.0.2.5 is at 08:00:27:e3:36:61
104,105,154.19802981700002,PcsCompu_e3:36:61,PcsCompu_88:2b:41,ARP,42,10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)
105,106,164.208251885,PcsCompu_e3:36:61,PcsCompu_c7:0e:1a,ARP,42,10.0.2.5 is at 08:00:27:e3:36:61
106,107,164.208309764,PcsCompu_e3:36:61,PcsCompu_88:2b:41,ARP,42,10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)
107,108,174.218517975,PcsCompu_e3:36:61,PcsCompu_c7:0e:1a,ARP,42,10.0.2.5 is at 08:00:27:e3:36:61
108,109,174.218582085,PcsCompu_e3:36:61,PcsCompu_88:2b:41,ARP,42,10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)
109,110,184.22876214299998,PcsCompu_e3:36:61,PcsCompu_c7:0e:1a,ARP,42,10.0.2.5 is at 08:00:27:e3:36:61
110,111,184.228835831,PcsCompu_e3:36:61,PcsCompu_88:2b:41,ARP,42,10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)
111,112,188.661018839,PcsCompu_25:4b:aa,Broadcast,ARP,60,Who has 10.0.2.3? Tell 10.0.2.7
112,113,194.239047425,PcsCompu_e3:36:61,PcsCompu_c7:0e:1a,ARP,42,10.0.2.5 is at 08:00:27:e3:36:61
113,114,194.23910848900002,PcsCompu_e3:36:61,PcsCompu_88:2b:41,ARP,42,10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)
114,115,204.249632768,PcsCompu_e3:36:61,PcsCompu_c7:0e:1a,ARP,42,10.0.2.5 is at 08:00:27:e3:36:61
115,116,204.249695015,PcsCompu_e3:36:61,PcsCompu_88:2b:41,ARP,42,10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)
116,117,214.25997384599998,PcsCompu_e3:36:61,PcsCompu_c7:0e:1a,ARP,42,10.0.2.5 is at 08:00:27:e3:36:61
117,118,214.26004177299998,PcsCompu_e3:36:61,PcsCompu_88:2b:41,ARP,42,10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)
118,119,224.27025241400003,PcsCompu_e3:36:61,PcsCompu_c7:0e:1a,ARP,42,10.0.2.5 is at 08:00:27:e3:36:61
119,120,224.270328848,PcsCompu_e3:36:61,PcsCompu_88:2b:41,ARP,42,10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)
120,121,234.280561215,PcsCompu_e3:36:61,PcsCompu_c7:0e:1a,ARP,42,10.0.2.5 is at 08:00:27:e3:36:61
121,122,234.280651344,PcsCompu_e3:36:61,PcsCompu_88:2b:41,ARP,42,10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)
122,123,244.29092442099997,PcsCompu_e3:36:61,PcsCompu_c7:0e:1a,ARP,42,10.0.2.5 is at 08:00:27:e3:36:61
123,124,244.291000504,PcsCompu_e3:36:61,PcsCompu_88:2b:41,ARP,42,10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)
124,125,254.301202048,PcsCompu_e3:36:61,PcsCompu_c7:0e:1a,ARP,42,10.0.2.5 is at 08:00:27:e3:36:61
125,126,254.30127408299998,PcsCompu_e3:36:61,PcsCompu_88:2b:41,ARP,42,10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)
126,127,264.311713568,PcsCompu_e3:36:61,PcsCompu_c7:0e:1a,ARP,42,10.0.2.5 is at 08:00:27:e3:36:61
127,128,264.311808155,PcsCompu_e3:36:61,PcsCompu_88:2b:41,ARP,42,10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)
128,129,274.322046359,PcsCompu_e3:36:61,PcsCompu_c7:0e:1a,ARP,42,10.0.2.5 is at 08:00:27:e3:36:61
129,130,274.322106662,PcsCompu_e3:36:61,PcsCompu_88:2b:41,ARP,42,10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)
130,131,278.980339765,10.0.2.5,10.0.2.15,ICMP,98,"Echo (ping) request  id=0x7c13, seq=1/256, ttl=64 (no response found!)"
131,132,278.983592138,10.0.2.5,10.0.2.15,ICMP,98,"Echo (ping) request  id=0x7c13, seq=1/256, ttl=64 (reply in 133)"
132,133,278.984098957,10.0.2.15,10.0.2.5,ICMP,98,"Echo (ping) reply    id=0x7c13, seq=1/256, ttl=64 (request in 132)"
133,134,278.991812681,10.0.2.15,10.0.2.5,ICMP,98,"Echo (ping) reply    id=0x7c13, seq=1/256, ttl=64"
134,135,279.979720208,10.0.2.5,10.0.2.15,ICMP,98,"Echo (ping) request  id=0x7c13, seq=2/512, ttl=64 (no response found!)"
135,136,279.987522694,10.0.2.5,10.0.2.15,ICMP,98,"Echo (ping) request  id=0x7c13, seq=2/512, ttl=64 (reply in 137)"
136,137,279.988092933,10.0.2.15,10.0.2.5,ICMP,98,"Echo (ping) reply    id=0x7c13, seq=2/512, ttl=64 (request in 136)"
137,138,279.995641263,10.0.2.15,10.0.2.5,ICMP,98,"Echo (ping) reply    id=0x7c13, seq=2/512, ttl=64"
138,139,280.979965882,10.0.2.5,10.0.2.15,ICMP,98,"Echo (ping) request  id=0x7c13, seq=3/768, ttl=64 (no response found!)"
139,140,280.987559189,10.0.2.5,10.0.2.15,ICMP,98,"Echo (ping) request  id=0x7c13, seq=3/768, ttl=64 (reply in 141)"
140,141,280.988123246,10.0.2.15,10.0.2.5,ICMP,98,"Echo (ping) reply    id=0x7c13, seq=3/768, ttl=64 (request in 140)"
141,142,281.006004764,10.0.2.15,10.0.2.5,ICMP,98,"Echo (ping) reply    id=0x7c13, seq=3/768, ttl=64"
142,143,281.979517473,10.0.2.5,10.0.2.15,ICMP,98,"Echo (ping) request  id=0x7c13, seq=4/1024, ttl=64 (no response found!)"
143,144,281.987518266,10.0.2.5,10.0.2.15,ICMP,98,"Echo (ping) request  id=0x7c13, seq=4/1024, ttl=64 (reply in 145)"
144,145,281.988051645,10.0.2.15,10.0.2.5,ICMP,98,"Echo (ping) reply    id=0x7c13, seq=4/1024, ttl=64 (request in 144)"
145,146,281.995554351,10.0.2.15,10.0.2.5,ICMP,98,"Echo (ping) reply    id=0x7c13, seq=4/1024, ttl=64"
146,147,282.980004885,10.0.2.5,10.0.2.15,ICMP,98,"Echo (ping) request  id=0x7c13, seq=5/1280, ttl=64 (no response found!)"
147,148,282.983549676,10.0.2.5,10.0.2.15,ICMP,98,"Echo (ping) request  id=0x7c13, seq=5/1280, ttl=64 (reply in 149)"
148,149,282.984216275,10.0.2.15,10.0.2.5,ICMP,98,"Echo (ping) reply    id=0x7c13, seq=5/1280, ttl=64 (request in 148)"
