"No.","Time","Source","Destination","Protocol","Length","Info"
"1023","97.566739784","10.0.2.10","10.0.2.5","TCP","58","58019  >  3971 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1024","97.566776142","10.0.2.10","10.0.2.5","TCP","58","58019  >  5269 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1025","97.566796089","10.0.2.10","10.0.2.5","TCP","58","58019  >  7920 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1026","97.566817109","10.0.2.10","10.0.2.5","TCP","58","58019  >  1145 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1027","97.567163639","10.0.2.10","10.0.2.5","TCP","58","58019  >  8500 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1028","97.567204415","10.0.2.5","10.0.2.10","TCP","60","3971  >  58019 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1029","97.567204666","10.0.2.5","10.0.2.10","TCP","60","5269  >  58019 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1030","97.567204766","10.0.2.5","10.0.2.10","TCP","60","7920  >  58019 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1031","97.567204866","10.0.2.5","10.0.2.10","TCP","60","1145  >  58019 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1032","97.567548591","10.0.2.5","10.0.2.10","TCP","60","8500  >  58019 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1033","97.567677452","10.0.2.10","10.0.2.5","TCP","58","58019  >  3814 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1034","97.567713640","10.0.2.10","10.0.2.5","TCP","58","58019  >  2002 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1035","97.567745400","10.0.2.10","10.0.2.5","TCP","58","58019  >  24800 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1036","97.568004025","10.0.2.5","10.0.2.10","TCP","60","3814  >  58019 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1037","97.568004235","10.0.2.5","10.0.2.10","TCP","60","2002  >  58019 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1038","97.568004335","10.0.2.5","10.0.2.10","TCP","60","24800  >  58019 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1039","97.569052240","10.0.2.10","10.0.2.5","TCP","58","58019  >  7007 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1040","97.569088959","10.0.2.10","10.0.2.5","TCP","58","58019  >  1085 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1041","97.569103376","10.0.2.10","10.0.2.5","TCP","58","58019  >  512 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1042","97.569119937","10.0.2.10","10.0.2.5","TCP","58","58019  >  1199 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1043","97.569133933","10.0.2.10","10.0.2.5","TCP","58","58019  >  1494 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1044","97.569281460","10.0.2.10","10.0.2.5","TCP","58","58019  >  2038 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1045","97.569307459","10.0.2.10","10.0.2.5","TCP","58","58019  >  15004 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1046","97.569320393","10.0.2.10","10.0.2.5","TCP","58","58019  >  1099 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1047","97.569334580","10.0.2.10","10.0.2.5","TCP","58","58019  >  1999 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
