No.;Time;Source;Destination;Protocol;Length;Info
11223;52.334.071.017;10.0.2.5;10.0.2.4;TCP;66;135  >  57426 [FIN, ACK] Seq=93 Ack=153 Win=66304 Len=0 TSval=206422 TSecr=71733461
11224;52.334.124.582;10.0.2.4;10.0.2.5;TCP;66;57426  >  135 [ACK] Seq=153 Ack=93 Win=64256 Len=0 TSval=71733462 TSecr=206422
11225;52.341.164.956;10.0.2.4;10.0.2.5;TCP;66;57426  >  135 [RST, ACK] Seq=153 Ack=94 Win=64256 Len=0 TSval=71733469 TSecr=206422
11226;52.351.814.811;10.0.2.4;10.0.2.5;TCP;74;37088  >  445 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=71733479 TSecr=0 WS=128
11227;52.352.544.485;10.0.2.5;10.0.2.4;TCP;74;445  >  37088 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=206424 TSecr=71733479
11228;52.352.609.735;10.0.2.4;10.0.2.5;TCP;66;37088  >  445 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=71733480 TSecr=206424
11229;52.360.192.642;10.0.2.4;10.0.2.5;SMB;241;Negotiate Protocol Request
11230;52.360.956.055;10.0.2.5;10.0.2.4;SMB2;318;Negotiate Protocol Response
11231;52.361.110.852;10.0.2.4;10.0.2.5;TCP;66;37088  >  445 [ACK] Seq=176 Ack=253 Win=64128 Len=0 TSval=71733489 TSecr=206425
11232;52.391.474.482;10.0.2.4;10.0.2.5;SMB2;252;Negotiate Protocol Request
11233;52.392.211.094;10.0.2.5;10.0.2.4;SMB2;318;Negotiate Protocol Response
11234;52.392.357.848;10.0.2.4;10.0.2.5;TCP;66;37088  >  445 [ACK] Seq=362 Ack=505 Win=64128 Len=0 TSval=71733520 TSecr=206428
11235;52.428.549.199;10.0.2.4;10.0.2.5;SMB2;232;Session Setup Request, NTLMSSP_NEGOTIATE
11236;52.429.163.458;10.0.2.5;10.0.2.4;SMB2;397;Session Setup Response, Error: STATUS_MORE_PROCESSING_REQUIRED, NTLMSSP_CHALLENGE
11237;52.429.200.760;10.0.2.4;10.0.2.5;TCP;66;37088  >  445 [ACK] Seq=528 Ack=836 Win=64128 Len=0 TSval=71733557 TSecr=206432
11238;52.439.243.635;10.0.2.4;10.0.2.5;SMB2;239;Session Setup Request, NTLMSSP_AUTH, User: \\[Malformed Packet]
11239;52.440.091.680;10.0.2.5;10.0.2.4;SMB2;151;Session Setup Response
11240;52.440.129.643;10.0.2.4;10.0.2.5;TCP;66;37088  >  445 [ACK] Seq=701 Ack=921 Win=64128 Len=0 TSval=71733568 TSecr=206433
11241;52.449.201.261;10.0.2.4;10.0.2.5;SMB2;168;Tree Connect Request Tree: \\\\HETEAM\\IPC$
11242;52.449.676.161;10.0.2.5;10.0.2.4;SMB2;150;Tree Connect Response
11243;52.449.725.902;10.0.2.4;10.0.2.5;TCP;66;37088  >  445 [ACK] Seq=803 Ack=1005 Win=64128 Len=0 TSval=71733577 TSecr=206434
11244;52.459.170.130;10.0.2.4;10.0.2.5;SMB2;206;Create Request File: epmapper
11245;52.459.595.575;10.0.2.5;10.0.2.4;SMB2;143;Create Response, Error: STATUS_ACCESS_DENIED
11246;52.459.623.235;10.0.2.4;10.0.2.5;TCP;66;37088  >  445 [ACK] Seq=943 Ack=1082 Win=64128 Len=0 TSval=71733587 TSecr=206435
11247;52.469.657.590;10.0.2.4;10.0.2.5;SMB2;138;Tree Disconnect Request
11248;52.471.540.467;10.0.2.5;10.0.2.4;SMB2;138;Tree Disconnect Response
11249;52.471.596.969;10.0.2.4;10.0.2.5;TCP;66;37088  >  445 [ACK] Seq=1015 Ack=1154 Win=64128 Len=0 TSval=71733599 TSecr=206436
11250;52.482.148.311;10.0.2.4;10.0.2.5;SMB2;138;Session Logoff Request
11251;52.482.973.144;10.0.2.5;10.0.2.4;SMB2;138;Session Logoff Response
11252;52.483.014.970;10.0.2.4;10.0.2.5;TCP;66;37088  >  445 [ACK] Seq=1087 Ack=1226 Win=64128 Len=0 TSval=71733611 TSecr=206437
11253;52.490.580.961;10.0.2.4;10.0.2.5;TCP;66;37088  >  445 [RST, ACK] Seq=1087 Ack=1226 Win=64128 Len=0 TSval=71733618 TSecr=206437
11254;52.539.131.840;10.0.2.4;10.0.2.5;TCP;74;37090  >  445 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=71733667 TSecr=0 WS=128
11255;52.539.533.073;10.0.2.5;10.0.2.4;TCP;74;445  >  37090 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=206443 TSecr=71733667
11256;52.539.575.437;10.0.2.4;10.0.2.5;TCP;66;37090  >  445 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=71733667 TSecr=206443
11257;52.546.917.899;10.0.2.4;10.0.2.5;SMB;241;Negotiate Protocol Request
